,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
11:2:2:,180.0,0.6086314469619272,sp1_180_0_sp2_0_6/ep1_80_0/aps2.erg,0.361853895187378,1.412452944949666
11:3:1:,181.0,0.6211357029886185,sp1_180_0_sp2_0_6/ep1_81_0/aps1.erg,0.34935241699218755,1.4413328416263194
11:3:2:,181.0,0.6040207344732283,sp1_180_0_sp2_0_6/ep1_81_0/aps2.erg,0.36447340011596685,1.4013845796729485
12:1:1:,179.0,0.8386719312928853,sp1_180_0_sp2_0_85/ep1_79_0/aps1.erg,0.15828698635101324,1.94473372105195
12:1:2:,179.0,0.8411773176772849,sp1_180_0_sp2_0_85/ep1_79_0/aps2.erg,0.15600150585174566,1.9501923715947722
12:2:1:,180.0,0.8370042108965535,sp1_180_0_sp2_0_85/ep1_80_0/aps1.erg,0.15781384468078619,1.9407311462171117
12:2:2:,180.0,0.860285059228965,sp1_180_0_sp2_0_85/ep1_80_0/aps2.erg,0.13648992538452154,1.9933935714643303
12:3:1:,181.0,0.8465924690409468,sp1_180_0_sp2_0_85/ep1_81_0/aps1.erg,0.14704268932342535,1.9608943248852095
12:3:2:,181.0,0.8378257430839556,sp1_180_0_sp2_0_85/ep1_81_0/aps2.erg,0.15508252143859869,1.9408347422774974
1:,80.0,0.35,-,0.0,0.0
2:,80.0,0.6,-,0.0,0.0
3:,80.0,0.85,-,0.0,0.0
4:,113.33333333333334,0.35,-,0.0,0.0
5:,113.33333333333334,0.6,-,0.0,0.0
6:,113.33333333333334,0.85,-,0.0,0.0
7:,146.66666666666669,0.35,-,0.0,0.0
8:,146.66666666666669,0.6,-,0.0,0.0
9:,146.66666666666669,0.85,-,0.0,0.0
10:,180.0,0.35,-,0.0,0.0
11:,180.0,0.6,-,0.0,0.0
12:,180.0,0.85,-,0.0,0.0
