,Parameter,Parameter,Filepath,KPI,KPI
,epistemic,aleatory,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
11:1:2:,179.0,0.5881138927880971,sp1_180_0_sp2_0_6/ep1_79_0/aps2.erg,0.0941875553131104,1.2791754921913534
11:2:1:,180.0,0.6059557637084118,sp1_180_0_sp2_0_6/ep1_80_0/aps1.erg,0.06919044017791753,1.317899261765637
11:2:2:,180.0,0.6086314469619272,sp1_180_0_sp2_0_6/ep1_80_0/aps2.erg,0.06559651851654058,1.323328360087761
11:3:1:,181.0,0.6211357029886185,sp1_180_0_sp2_0_6/ep1_81_0/aps1.erg,0.04770689964294439,1.3507745270094407
11:3:2:,181.0,0.6040207344732283,sp1_180_0_sp2_0_6/ep1_81_0/aps2.erg,0.07072478294372564,1.3134222047030297
12:1:1:,179.0,0.8386719312928853,sp1_180_0_sp2_0_85/ep1_79_0/aps1.erg,0.0,1.8212730351689022
12:1:2:,179.0,0.8411773176772849,sp1_180_0_sp2_0_85/ep1_79_0/aps2.erg,0.0,1.8279951357422441
12:2:1:,180.0,0.8370042108965535,sp1_180_0_sp2_0_85/ep1_80_0/aps1.erg,0.0,1.8178070651240663
12:2:2:,180.0,0.860285059228965,sp1_180_0_sp2_0_85/ep1_80_0/aps2.erg,0.0,1.8678689390648318
12:3:1:,181.0,0.8465924690409468,sp1_180_0_sp2_0_85/ep1_81_0/aps1.erg,0.0,1.8389299595007236
12:3:2:,181.0,0.8378257430839556,sp1_180_0_sp2_0_85/ep1_81_0/aps2.erg,0.0,1.819954493217013
1:,80.0,0.35,-,0.0,0.0
2:,80.0,0.6,-,0.0,0.0
3:,80.0,0.85,-,0.0,0.0
4:,113.33333333333334,0.35,-,0.0,0.0
5:,113.33333333333334,0.6,-,0.0,0.0
6:,113.33333333333334,0.85,-,0.0,0.0
7:,146.66666666666669,0.35,-,0.0,0.0
8:,146.66666666666669,0.6,-,0.0,0.0
9:,146.66666666666669,0.85,-,0.0,0.0
10:,180.0,0.35,-,0.0,0.0
11:,180.0,0.6,-,0.0,0.0
12:,180.0,0.85,-,0.0,0.0
